pubrate,data_len,t1,t2,t3,t4,t5
0,64,0.379756646,0.355268119,0.360754345,0.446284228,0.384696914
0,128,0.754066573,0.74701385,0.74534067,0.737924024,0.745939198
0,256,1.361706858,1.525713329,1.672590424,1.670530479,1.626367061
0,512,2.701026666,2.694648854,2.723063725,2.731164891,2.454794521
0,1024,5.068561343,5.020250692,4.939733985,4.782864655,4.533337959
0,2048,9.727922177,9.452929775,10.88900232,10.42601717,9.494657741
0,4096,16.04379301,17.83617,18.44049618,17.10184761,16.67521874
0,8192,27.37788642,30.67825253,29.33493603,27.6016855,31.69069237
0,16384,39.54147773,43.77649003,46.39542259,46.76025676,45.99800152
0,32768,55.22068575,60.42971385,61.8500024,61.00929925,62.16255727
