pubrate,data_len,t1,t2,t3,t4,t5
0,64,0.597885438,1.045556385,0.49817252,0.266599926,0.32378605
0,128,0.99634504,0.533199852,0.6475721,0.656660413,0.704367076
0,256,1.393416109,1.302321255,1.311655329,1.253325148,1.238675755
0,512,2.59637038,2.610400983,3.193183531,2.932715867,8.343709758
0,1024,4.813492514,4.497746824,5.651937266,5.811949338,14.53062737
0,2048,8.60113603,9.142990423,9.657551121,9.684631823,9.597581018
0,4096,14.92026034,17.37107406,18.49285584,18.19595465,17.0847044
0,8192,24.82023926,24.27408977,24.47471265,23.4204193,55.13046459
0,16384,27.02461062,27.23948335,26.80399154,74.74630708,73.30978116
0,32768,26.47296207,21.43281952,76.85297366,77.57971572,81.33689744
