pub_rate,data_len,t1,t2,t3,t4,t5
0,64,13.17562988,22.91119934,30.67578243,37.93458727,37.01462818
0,128,22.19548588,29.64930164,43.88308333,30.99788732,45.24773191
0,256,21.95776558,28.92791304,34.02104529,25.64870377,32.66866471
0,512,23.12020834,28.21569846,36.92029115,26.35617273,44.52807841
0,1024,23.42917829,28.45370768,46.89738948,24.94292531,45.76150782
0,2048,23.04011455,29.20387736,46.46861366,27.86377942,45.18570273
0,4096,23.53266463,29.28629005,45.8482592,29.81046784,42.73158843
0,8192,23.68677082,29.22523357,50.32899874,28.13907422,43.60063205
0,16384,23.69074267,28.93020927,39.84902629,33.87721832,46.37572754
0,32768,23.50407256,27.90472745,47.34074044,28.62989781,43.2331064
