pub_rate,data_len,t1,t2,t3,t4,t5
0,64,11.9713602,11.85740406,11.85970305,11.30527287,12.24049865
0,128,10.19994358,8.921643564,16.50315362,15.26124746,18.5022863
0,256,13.05444464,15.17010523,15.3211452,15.39868438,15.41568608
0,512,11.55368245,11.00439661,10.97758027,12.07831986,22.90992427
0,1024,10.36260584,10.22328627,10.25261594,11.71350546,41.94483223
0,2048,10.47661683,10.50516698,11.2579867,13.95389183,33.06495219
0,4096,12.36679308,12.29106726,12.23908458,12.33562804,18.0187373
0,8192,10.97529521,10.83618598,10.85414874,18.25698267,23.4516406
0,16384,15.2266613,13.43274696,13.41664987,13.41421633,20.41623852
0,32768,14.83861736,14.78630967,15.05998625,14.94170691,15.00473477
