pub_rate,data_len,t1,t2,t3,t4,t5
0,64,13.39626371,25.38934833,29.24462998,37.44001477,37.38162398
0,128,22.13527974,30.33898184,45.7734738,34.78786799,41.04237158
0,256,26.47858646,30.46718389,53.8868475,30.77115818,37.96194082
0,512,26.60064586,29.83517731,54.60694541,30.29358866,39.03521889
0,1024,26.59909607,29.56033945,53.18697721,29.60116105,41.82341457
0,2048,26.60185178,31.4656294,53.20889503,31.56537796,42.99761234
0,4096,26.55710033,28.39270553,53.09011913,28.54133761,40.63154155
0,8192,26.54575673,28.86945285,53.0350307,29.28674284,39.4103384
0,16384,26.48547886,28.59881083,53.14507152,29.35292387,40.76836821
0,32768,26.4767918,27.39922972,52.92626518,28.85315561,38.56201803
