pubrate,data_len,t1,t2,t3,t4,t5
0,64,12.80853405,12.8399995,11.86906755,11.04386381,12.50200677
0,128,22.65825713,22.57814291,21.24368267,19.35954136,20.14437966
0,256,33.98405664,38.05113585,35.78416369,37.19064838,36.05988377
0,512,39.36523979,49.18822308,52.98257547,48.947772,51.05447032
0,1024,40.33967924,40.60723517,41.58986201,40.13321901,40.54213528
0,2048,57.0062159,93.04797786,87.03535811,76.07653668,75.95421309
0,4096,67.53447203,66.87956453,72.03181629,85.17696368,90.82580953
0,8192,93.28184965,92.19330855,94.15728871,94.11374053,90.44647691
0,16384,61.6873187,69.14498527,63.62102667,68.61148335,71.91438558
0,32768,84.9677948,88.03395841,74.07340428,64.26307697,62.43569322
